PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,
WD2M,2014,14.5,326.75,313,296.38,298.06,286.44,273.56,264.56,300.25,43.12,353.56,18,316.44,
WD2M,2015,17,340.31,328.5,271.44,308,235.69,272.44,255.94,331.44,355.25,41,9.81,307,
WD2M,2016,351.31,40.69,347.19,289.19,249.88,189.44,217.62,244.19,47,3.81,3.38,15.19,292.19,
WD2M,2017,27.31,354.19,323.62,308.88,268.5,253.19,237.94,205,299.19,6.5,48.5,33.5,303.06,
WD2M,2018,353,336.94,317.75,247.81,229.62,234.62,243.44,284.38,296.12,17.12,41.75,20.88,288.75,
WD2M,2019,335.25,295.69,307.06,308.94,311.38,276.56,231.75,243.31,176,22.75,22.56,37.75,291.94,
WD2M,2020,337.62,343.75,267.94,278.75,288.81,232.88,223.81,253.12,243,48.94,35.19,358.44,283.06,
WD2M,2021,9.62,339.69,308.88,335.81,283.25,264.31,239.69,226.88,148.62,343.31,21.81,25,291.88,
WD2M,2022,347.44,306.81,333,303.81,269.06,251,128.44,224.25,171.06,61.94,12.62,10.19,308.69,
WS2M,1981,1.45,1.94,2,2.39,2.25,3.2,2.72,2.18,1.97,1.36,1.3,1.53,2.02,
WS2M,1982,1.52,1.91,2.14,2.21,1.99,2.38,2.55,2.51,1.66,1.15,1.29,1.52,1.9,
WS2M,1983,1.77,2.05,2.53,2.72,2.42,2.44,2.34,2.51,1.65,1.53,1.45,1.3,2.06,
WS2M,1984,1.53,2.06,2.27,2.09,2.8,2.89,2.06,2.7,2,1.49,1.31,1.59,2.07,
WS2M,1985,1.51,2,2.45,2.55,2.29,2.7,2.35,2.16,1.77,1.84,1.26,1.41,2.02,
WS2M,1986,1.49,1.83,2.05,2.47,2.23,2.65,2.58,2.31,1.95,1.41,1.33,1.52,1.98,
WS2M,1987,1.62,1.59,2.19,2.59,2.09,2.51,2.84,2.04,2.32,1.23,1.59,1.47,2.01,
WS2M,1988,1.7,2.01,2.22,2.14,2.34,2.35,2.42,2.03,1.62,1.5,1.41,1.45,1.93,
WS2M,1989,1.94,2.37,2.37,2.53,2.67,2.74,2.52,2.34,1.7,1.29,1.11,1.35,2.08,
WS2M,1990,2.07,1.91,2.2,2.53,2.41,2.48,2.91,2.33,1.91,1.58,1.65,1.36,2.12,
WS2M,1991,1.67,1.8,2.11,2.52,2.52,2.9,2.85,2.48,1.7,1.31,1.22,1.4,2.04,
WS2M,1992,1.69,1.95,2.5,2.23,2.19,2.49,2.48,2.04,2.05,1.56,1.28,1.51,2,
WS2M,1993,1.99,1.82,2.23,2.14,2.41,2.45,2.17,2.23,2.06,1.13,1.17,1.18,1.91,
WS2M,1994,1.45,1.82,2.3,1.98,2.34,2.44,2.8,2.36,1.81,1.27,1.05,1.08,1.89,
WS2M,1995,1.53,1.77,1.84,1.95,2.41,2.45,2.31,2.24,2.01,1.42,1.55,1.27,1.9,
WS2M,1996,1.63,1.81,2.05,2.05,2.33,2.98,2.26,2.1,1.32,1.49,1.16,1.48,1.89,
WS2M,1997,1.52,2.23,2.26,1.96,2.24,2.6,2.72,2.98,1.63,1.09,1.14,1.48,1.99,
WS2M,1998,1.44,1.55,1.97,1.86,2.45,2.57,2.7,2.03,1.67,1.54,1.5,1.33,1.88,
WS2M,1999,1.47,1.64,2.3,2.39,2.36,2.77,2.47,2.35,1.66,1.74,1.3,1.06,1.96,
